Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/03/2004,4829,713,713,0.0,539,,,679,,486.0,193.0,,366,,,,,,2297,2234,2420.0,-186.0,38,260,,221.0,,,260,2532,,605,605,,438,,,,,327,,,327,1370,0,,,,137,,,,,,137,137,1507,0.0,3315.0,,,,0.0,7,3322,0.0,3322,4829,
10/02/2004,6286,2173,2173,0.0,581,,,713,,502.0,211.0,,281,,,,,,3748,2193,2563.0,-370.0,34,311,,221.0,,,311,2538,,566,566,,4,,,,,473,,,473,1043,1250,,,,131,,,,,,131,1381,2424,0.0,3796.0,,,0.0,68.0,-2,3862,0.0,3862,6286,
12/31/2004,6622,2374,2374,,638,638.0,,742,,,,,247,,,,,,4001,2207,,,31,383,,,,,383,2621,,516,516,,2,,,,,643,,,643,1161,1250,,,,275,,,,,,275,1525,2686,,,,,0.0,3936.0,0,3936,,3936,6622,
04/01/2005,6533,2349,318,2031.0,654,654.0,,742,,496.0,246.0,,249,,,,,,3994,2132,,,22,385,236.0,236.0,0.0,,149,2539,,491,491,,2,,,,,509,,,509,1002,1248,,,,277,,,,,,277,1525,2527,0.0,3821.0,,,,158.0,27,4006,0.0,4006,6533,
07/01/2005,6594,2555,262,2293.0,657,657.0,,671,,472.0,199.0,,226,,,,,,4109,2051,,,14,420,235.0,235.0,0.0,,185,2485,,411,411,,2,,,,,505,,,505,918,1269,,,,269,,,,,,269,1538,2456,,3859.0,,,-1.0,280.0,0,4138,,4138,6594,
09/30/2005,6879,1485,299,1186.0,687,687.0,,637,,452.0,185.0,,234,,,,,,3043,2006,,,1413,417,242.0,242.0,0.0,,175,3836,,429,429,,2,,,,,583,,,583,1014,1251,,,,265,,,,,,265,1516,2530,,3926.0,,,-9.0,444.0,-12,4349,,4349,6879,
12/31/2005,7170,1421,212,1209.0,535,535.0,,647,0.0,441.0,206.0,0.0,367,,,,,,2970,2035,3165.0,-1130.0,1616,549,253.0,253.0,0.0,,296,4200,,469,469,,7,,,,,663,,,663,1139,1230,,,,354,,,,,,354,1584,2723,0.0,3946.0,,,-97.0,628.0,-30,4447,0.0,4447,7170,
03/31/2006,7290,1379,227,1152.0,545,545.0,,682,,471.0,211.0,,358,,,,,,2964,2042,,,1726,558,253.0,253.0,0.0,,305,4326,,572,572,,6,,,,,511,,,511,1089,1230,,,,353,,,,,,353,1583,2672,0.0,3966.0,,,-140.0,822.0,-30,4618,0.0,4618,7290,
06/30/2006,7604,1487,359,1128.0,605,605.0,,693,0.0,494.0,199.0,0.0,343,,,,,,3128,2159,,,1736,581,253.0,253.0,0.0,,328,4476,,593,593,,407,,,,,571,,,571,1571,831,,,,357,,,,,,357,1188,2759,0.0,4000.0,,,-186.0,1044.0,-13,4845,0.0,4845,7604,
09/29/2006,7771,2965,301,2664.0,711,711.0,,756,,551.0,205.0,,360,,,,,,4792,2227,,,11,741,253.0,253.0,0.0,,488,2979,,577,577,,45,,,,,723,,,723,1345,832,,,,353,,,,,,353,1185,2530,0.0,4037.0,,,-43.0,1233.0,14,5241,0.0,5241,7771,
12/31/2006,17719,710,177,533.0,635,635.0,,1188,0.0,800.0,388.0,0.0,317,,,,,,2850,3232,3287.0,-55.0,0,11637,10947.0,5293.0,5654.0,,690,14869,,558,558,,85,,,,,716,,,716,1359,9415,,,,2248,,,,,,2248,11663,13022,0.0,7078.0,,,0.0,-2387.0,6,4697,0.0,4697,17719,
03/30/2007,16784,637,181,456.0,543,543.0,,875,0.0,606.0,269.0,0.0,314,,,,,,2369,3132,,,0,11283,10607.0,5295.0,5312.0,,676,14415,,508,508,,88,,,,,694,,,694,1290,9406,,,,1919,,,,,,1919,11325,12615,0.0,7087.0,,,0.0,-2926.0,8,4169,0.0,4169,16784,
06/29/2007,16120,541,228,313.0,538,538.0,,878,0.0,595.0,283.0,0.0,279,,,,,,2236,3024,,,0,10860,10264.0,5292.0,4972.0,,596,13884,,451,451,,87,,,,,545,,,545,1083,9398,,,,1744,,,,,,1744,11142,12225,0.0,7099.0,,,0.0,-3214.0,10,3895,0.0,3895,16120,
09/28/2007,15906,772,272,500.0,500,500.0,,846,0.0,576.0,270.0,0.0,356,,,,,,2474,2929,,,0,10503,9936.0,5297.0,4639.0,,567,13432,,418,418,,94,,,,,743,,,743,1255,9389,,,,1608,,,,,,1608,10997,12252,0.0,7110.0,,,0.0,-3475.0,19,3654,0.0,3654,15906,
12/31/2007,15103,751,206,545.0,542,542.0,,779,0.0,252.0,527.0,0.0,718,,,,,,2790,2517,3205.0,-688.0,0,9796,9248.0,5330.0,3918.0,,548,12313,,385,385,,93,,,,,574,,,574,1052,9380,,,,1495,,,,,,1495,10875,11927,0.0,7123.0,,,,-3994.0,47,3176,0.0,3176,15103,
06/27/2008,14651,1199,502,697.0,706,706.0,,724,0.0,526.0,198.0,0.0,431,,,,,,3060,2296,,,0,9295,8710.0,5325.0,3385.0,,585,11591,,473,473,,92,,,,,721,,,721,1286,9278,,,,1287,,,,,,1287,10565,11851,0.0,7165.0,,,,-4423.0,58,2800,0.0,2800,14651,
09/26/2008,11051,1301,702,599.0,688,688.0,,718,0.0,508.0,210.0,0.0,506,,,,,,3213,2135,,,0,5703,5060.0,2695.0,2365.0,,643,7838,,439,439,,93,,,,,721,,,721,1253,9269,,,,1198,,,,,,1198,10467,11720,0.0,7179.0,,,0.0,-7920.0,56,-685,16.0,-669,11051,
12/31/2008,6670,1394,900,494.0,394,394.0,,755,0.0,531.0,224.0,0.0,459,,,,,,3002,1931,3298.0,-1367.0,0,1737,1264.0,0.0,1264.0,,473,3668,,246,246,,163,,,,,595,,,595,1004,9610,,,,729,,,,,,729,10339,11343,0.0,7196.0,,,0.0,-11907.0,37,-4674,1.0,-4673,6670,
04/03/2009,6295,1422,939,483.0,383,383.0,0.0,697,508.0,0.0,189.0,0.0,432,,,,,432.0,2934,1765,,,0,1596,1146.0,,1146.0,,450,3361,,852,282,570.0,142,44.0,,,98.0,0,,,0,994,7496,7496.0,,,707,,,,,378.0,329,8203,9197,0.0,7211.0,,7211.0,,-10151.0,38,-2902,0.0,-2902,6295,
07/03/2009,5697,1312,1292,20.0,374,374.0,0.0,660,470.0,0.0,190.0,0.0,372,,,,,372.0,2718,1589,,,0,1390,1023.0,,1023.0,,367,2979,,699,235,464.0,115,101.0,,,14.0,0,,,0,814,7491,7491.0,,,751,,,,,383.0,368,8242,9056,0.0,7221.0,,7221.0,,-10632.0,52,-3359,0.0,-3359,5697,
10/02/2009,5403,1334,1334,0.0,388,388.0,0.0,625,460.0,0.0,165.0,0.0,397,,,,,397.0,2744,1443,,,0,1216,900.0,,900.0,,316,2659,,794,263,531.0,117,106.0,,,11.0,0,,,0,911,7478,7478.0,,,772,,,,,385.0,387,8250,9161,0.0,7227.0,,7227.0,,-11040.0,55,-3758,0.0,-3758,5403,
12/31/2009,5093,1363,1363,0.0,379,379.0,0.0,606,444.0,0.0,162.0,0.0,335,,0.0,,,333.0,2683,1315,3136.0,-1821.0,0,1095,780.0,0.0,780.0,63.0,252,2410,,781,300,481.0,114,105.0,,,9.0,0,0.0,0.0,0,895,7430,7430.0,,,662,0.0,56.0,56.0,0.0,77.0,529,8092,8987,0.0,7260.0,5.0,7255.0,-1.0,-11196.0,43,-3894,0.0,-3894,5093,
04/02/2010,4816,1187,1187,0.0,432,432.0,0.0,617,459.0,0.0,158.0,0.0,339,,,,,339.0,2575,1234,3192.0,-1958.0,0,1007,657.0,,657.0,,350,2241,,849,355,494.0,96,89.0,,,7.0,0,,,0,945,7378,7378.0,,,617,,,,,130.0,487,7995,8940,0.0,7247.0,,7247.0,,-11414.0,43,-4124,0.0,-4124,4816,
07/02/2010,4522,1064,1064,0.0,470,470.0,0.0,636,,,,,295,,,,,295.0,2465,1196,,,0,861,535.0,,535.0,,326,2057,,894,409,485.0,67,0.0,,,67.0,0,,,0,961,7633,7633.0,,,605,,,,,,605,8238,9199,0.0,,,,0.0,,-4677,-4677,0.0,-4677,4522,
09/30/2010,4448,1072,1072,0.0,464,464.0,0.0,699,525.0,0.0,174.0,0.0,287,,,,,287.0,2522,1179,,,0,747,415.0,,415.0,,332,1926,,1009,464,545.0,51,0.0,,,51.0,0,,,0,1060,7589,7589.0,,,625,,,,,126.0,499,8214,9274,0.0,7281.0,5.0,7276.0,-1.0,-12147.0,41,-4826,0.0,-4826,4448,
12/31/2010,4269,1043,1043,0.0,457,457.0,0.0,732,533.0,0.0,199.0,0.0,260,30.0,0.0,14.0,14.0,196.0,2492,1111,3391.0,-2280.0,0,666,309.0,0.0,309.0,95.0,262,1777,,985,431,554.0,34,29.0,,,5.0,0,0.0,0.0,0,1019,7582,7582.0,,,602,0.0,64.0,64.0,0.0,54.0,484,8184,9203,0.0,7289.0,5.0,7284.0,-1.0,-12249.0,27,-4934,0.0,-4934,4269,
04/01/2011,4097,1035,1035,0.0,474,474.0,0.0,742,,,,,267,,,,,267.0,2518,976,,,0,603,253.0,,253.0,,350,1579,,1016,400,616.0,34,0.0,,,34.0,0,,,0,1050,7575,7575.0,,,548,,,,,,548,8123,9173,0.0,,,,0.0,,-5076,-5076,0.0,-5076,4097,
07/02/2011,4583,805,805,0.0,473,473.0,0.0,748,,,,,1150,,,,,1150.0,3176,875,,,0,532,188.0,,188.0,,344,1407,,978,405,573.0,869,0.0,,,869.0,0,,,0,1847,6593,6593.0,,,544,,,,,,544,7137,8984,0.0,,,,0.0,,-4401,-4401,0.0,-4401,4583,
09/30/2011,3596,744,744,0.0,508,508.0,0.0,799,,,,,275,,,,,275.0,2326,826,,,0,444,128.0,,128.0,,316,1270,,937,405,532.0,3,0.0,,,3.0,0,,,0,940,6589,6589.0,,,555,,,,,,555,7144,8084,0.0,,,,0.0,,-4488,-4488,0.0,-4488,3596,
12/31/2011,3415,772,772,0.0,459,459.0,0.0,803,591.0,0.0,212.0,0.0,198,28.0,0.0,5.0,17.0,146.0,2232,772,3458.0,-2686.0,0,411,84.0,0.0,84.0,100.0,227,1183,,798,347,451.0,2,0.0,,,2.0,0,0.0,0.0,0,800,6589,6589.0,,,506,0.0,78.0,78.0,0.0,29.0,399,7095,7895,0.0,8155.0,2.0,8153.0,0.0,-12660.0,25,-4480,0.0,-4480,3415,
03/30/2012,3371,760,760,0.0,434,434.0,0.0,816,,,,,197,,,,,197.0,2207,745,,,0,419,85.0,,85.0,,334,1164,,757,346,411.0,6,0.0,,,6.0,0,,,0,763,6579,6579.0,,,501,,,,,,501,7080,7843,0.0,,,,0.0,,-4472,-4472,0.0,-4472,3371,
06/29/2012,3499,881,881,0.0,444,444.0,0.0,820,,,,,192,,,,,192.0,2337,736,,,0,426,82.0,,82.0,,344,1162,,957,369,588.0,6,0.0,,,6.0,0,,,0,963,6578,6578.0,,,456,,,,,,456,7034,7997,0.0,,,,0.0,,-4498,-4498,0.0,-4498,3499,
09/28/2012,3329,763,763,0.0,440,440.0,0.0,810,,,,,182,,,,,182.0,2195,723,,,0,411,77.0,,77.0,,334,1134,,883,371,512.0,7,0.0,,,7.0,0,,,0,890,6476,6476.0,,,452,,,,,,452,6928,7818,0.0,,,,0.0,,-4489,-4489,0.0,-4489,3329,
12/31/2012,3171,711,711,0.0,384,384.0,0.0,797,578.0,0.0,219.0,0.0,166,,0.0,,,163.0,2058,715,3402.0,-2687.0,0,398,64.0,0.0,64.0,101.0,233,1113,,866,323,543.0,6,0.0,,,6.0,0,0.0,0.0,0,872,6375,6375.0,,,455,0.0,102.0,102.0,0.0,43.0,310,6830,7702,0.0,8219.0,2.0,8217.0,0.0,-12764.0,14,-4531,0.0,-4531,3171,
03/29/2013,3139,767,767,0.0,387,387.0,0.0,764,,,,,158,,,,,158.0,2076,692,,,0,371,63.0,,63.0,,308,1063,,839,324,515.0,28,0.0,,,28.0,0,,,0,867,6361,6361.0,,,451,,,,,,451,6812,7679,0.0,,,,0.0,,-4540,-4540,0.0,-4540,3139,
06/28/2013,3129,785,785,0.0,399,399.0,0.0,737,,,,,164,,,,,164.0,2085,686,,,0,358,60.0,,60.0,,298,1044,,822,372,450.0,28,0.0,,,28.0,0,,,0,850,6413,6413.0,,,449,,,,,,449,6862,7712,0.0,,,,0.0,,-4583,-4583,0.0,-4583,3129,
09/27/2013,3819,700,700,0.0,426,426.0,0.0,728,,,,,923,,,,,923.0,2777,685,,,0,357,56.0,,56.0,,301,1042,,785,386,399.0,753,0.0,,,753.0,0,,,0,1538,6375,6375.0,,,432,,,,,,432,6807,8345,0.0,,,,0.0,,-4526,-4526,0.0,-4526,3819,
12/31/2013,3047,747,747,0.0,388,388.0,0.0,733,497.0,0.0,236.0,0.0,127,,0.0,,,127.0,1995,681,3462.0,-2781.0,0,371,52.0,0.0,52.0,92.0,227,1052,,769,398,371.0,93,0.0,0.0,0.0,93.0,0,0.0,0.0,0,862,6386,6386.0,0.0,0.0,393,0.0,107.0,107.0,0.0,65.0,221,6779,7641,0.0,8329.0,3.0,8326.0,0.0,-12972.0,49,-4594,0.0,-4594,3047,
04/04/2014,3100,709,709,0.0,464,464.0,0.0,724,,,,,147,,,,,147.0,2044,693,,,0,363,51.0,,51.0,,312,1056,,765,447,318.0,35,0.0,,,35.0,0,,,0,800,5758,5758.0,,,393,,,,,,393,6151,6951,0.0,,,,0.0,,-3851,-3851,0.0,-3851,3100,
07/04/2014,3265,744,744,0.0,583,583.0,0.0,701,,,,,158,,,,,158.0,2186,707,,,0,372,59.0,,59.0,,313,1079,,817,438,379.0,35,0.0,,,35.0,0,,,0,852,5750,5750.0,,,391,,,,,,391,6141,6993,0.0,,,,0.0,,-3728,-3728,0.0,-3728,3265,
10/03/2014,3306,737,737,0.0,605,605.0,0.0,715,,,,,157,,,,,157.0,2214,726,,,0,366,54.0,,54.0,,312,1092,,846,454,392.0,35,0.0,,,35.0,0,,,0,881,5643,5643.0,,,375,,,,,,375,6018,6899,0.0,,,,0.0,,-3593,-3593,0.0,-3593,3306,
12/31/2014,3275,696,696,0.0,562,562.0,0.0,745,,,,,166,,0.0,,,166.0,2169,750,,,0,356,59.0,0.0,59.0,,297,1106,,810,413,397.0,35,0.0,0.0,0.0,35.0,0,0.0,0.0,0,845,5535,5535.0,0.0,0.0,476,0.0,,,,,476,6011,6856,0.0,,,,0.0,0.0,-3581,-3581,0.0,-3581,3275,
