Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,3744,-3131,613,-564,49,-149,0,99,-1,11,10,-8,0,2,0,2,10,,0.043333,0.008333,229.698006,,,,,
06/30/1990,4028,-3453,575,-499,76,-149,0,101,28,2,30,27,0,57,0,57,30,,0.13,0.248333,229.782005,,,,,
09/30/1990,4105,-3460,645,-473,172,-155,0,373,390,-141,249,-1,0,248,0,248,249,,1.081667,1.076667,229.818008,,,,,
12/31/1990,4036,-3550,486,-378,108,-159,0,27,-24,4,-20,19,0,-1,0,-1,-20,-0.085,-0.085,-0.005,229.799994,-0.085,-0.085,-0.005,229.799994,
03/31/1991,4135,-3579,556,-408,148,-166,0,117,99,-40,59,-1,0,58,0,58,59,,0.255,0.25,229.967995,,,,,
06/30/1991,4868,-4296,572,-401,171,-158,0,109,122,-47,75,2,0,77,0,77,75,,0.326667,0.335,230.064011,,,,,
09/30/1991,4385,-3836,549,-370,179,-142,0,86,123,-37,86,-9,0,77,0,77,86,,0.375,0.336667,230.141991,,,,,
12/31/1991,4684,-3850,834,-239,595,-12,0,-312,271,-134,137,74,0,211,0,211,137,0.595,0.595,0.916667,230.400012,0.595,0.595,0.916667,230.400012,
03/31/1992,4058,-3632,426,-333,93,-119,0,48,22,-2,20,-1532,0,-1512,0,-1512,20,,0.088333,-6.548333,230.832001,,,,,
06/30/1992,4799,-4379,420,-344,76,-123,0,45,-2,7,5,6,0,11,0,11,5,,0.021667,0.048333,231.641991,,,,,
09/30/1992,3888,-3634,254,-317,-63,-124,0,44,-143,60,-83,41,0,-42,0,-42,-83,,-0.358333,-0.181667,232.391991,,,,,
12/31/1992,4620,-4081,539,-334,205,-127,0,1131,1209,-453,756,6,0,762,0,762,756,3.218334,3.218334,3.243335,234.942006,3.218334,3.218334,3.218333,234.942006,
03/31/1993,3617,-3115,502,-258,244,-44,0,0,200,-21,179,37,0,216,0,216,179,,0.763333,0.92,235.223991,,,,,
06/30/1993,3810,-3283,527,-265,262,-67,0,70,265,-95,170,0,0,170,0,170,170,,0.72,0.72,235.56601,,,,,
09/30/1993,3428,-2949,479,-237,242,-24,0,0,218,-76,142,0,0,142,0,142,142,,0.605,0.605,235.379997,,,,,
12/31/1993,3632,-3475,157,-231,-74,-80,0,-70,-224,92,-132,0,0,-132,0,-132,-132,-0.56,-0.56,-0.56,235.391988,-0.56,-0.56,-0.56,235.391988,
03/31/1994,2953,-2420,533,-249,284,-74,0,0,210,-76,134,0,0,134,0,134,134,,0.565,0.565,236.118004,,,,,
06/30/1994,3250,-2712,538,-251,287,-67,0,0,220,-82,138,0,0,138,0,138,138,,0.585,0.585,236.513992,,,,,
09/30/1994,3461,-2950,511,-226,285,-52,0,0,233,-72,161,0,0,161,0,161,161,,0.68,0.68,236.711998,,,,,
12/31/1994,3512,-2944,568,-255,313,-56,0,0,257,-92,165,0,0,165,0,165,165,0.695,0.695,0.695,236.820006,0.695,0.695,0.695,236.820006,
03/31/1995,3333,-2794,539,-224,315,-64,0,0,251,-92,159,0,0,159,0,159,159,,0.69,0.69,231.638,,,,,
06/30/1995,3922,-3336,586,-255,331,-63,0,0,268,-99,169,0,0,169,0,169,169,,0.74,0.74,228.378006,,,,,
09/30/1995,3346,-2784,562,-235,327,-40,0,0,287,-95,192,0,0,192,0,192,192,0.85,0.85,0.85,225.882004,,,,,
12/31/1995,3731,-3113,618,-278,340,-58,0,-1838,-1556,537,-1019,0,0,-1019,0,-1019,-1019,-4.475,-4.475,-4.475,227.735992,-4.475,-4.475,-4.475,227.735992,
03/31/1996,3171,-2537,634,-257,377,-61,0,0,316,-118,198,0,0,198,0,198,198,0.89,0.89,0.89,222.231995,,,,,
06/30/1996,3264,-2640,624,-268,356,-63,0,0,293,-105,188,0,0,188,0,188,188,0.87,0.87,0.87,217.899994,,,,,
09/30/1996,3308,-2666,642,-277,365,-63,0,0,302,-107,195,0,0,195,0,195,195,0.9,0.9,0.9,214.600006,,,,,
12/31/1996,4091,-3439,652,-279,373,-61,0,0,312,-105,207,0,0,207,0,207,207,0.98,0.98,0.98,211.199997,,,,,
03/31/1997,3230,-2607,623,-265,358,-70,0,0,288,-107,181,0,0,181,0,181,181,0.86,0.86,0.86,209.899994,,,,,
06/30/1997,3559,-2926,633,-284,349,-54,0,0,295,-100,195,0,0,195,0,195,195,0.93,0.93,0.93,210.0,,,,,
