Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,,149524,110144,29099,0.0,2137,5747,2397,2237,10987,,10582,82718,256048,,79934,134709,214643,3585,579,2793,20314,241914,0,118.0,0.0,0,14016,14134,256048,
06/30/2000,,117026,85009,20584,0.0,2133,5619,3681,3187,9741,,6771,118100,254825,,94978,122094,217072,1775,552,3917,16942,240258,0,0.0,0.0,14934,-367,14567,254825,
09/30/2000,,152726,112499,29585,0.0,2309,5638,2695,2325,9592,,10742,82104,257489,,80966,135401,216367,1768,354,2892,19816,241197,0,1085.0,0.0,14934,273,16292,257489,
12/31/2000,,156527,114248,30109,0.0,2193,5504,4473,3434,9509,,10618,74046,254134,,136069,76752,212821,1085,12413,3490,7936,237745,0,0.0,0.0,14934,1455,16389,254134,
03/31/2001,,160502,117729,30160,0.0,2042,5451,5120,4205,10813,,10501,68096,254117,,137721,71167,208888,1596,13530,3545,9536,237095,0,0.0,0.0,14934,2088,17022,254117,
06/30/2001,,159629,116315,30683,0.0,2140,5420,5071,4748,10202,,10753,69445,254777,,138233,72148,210381,2121,13019,3403,9090,238014,0,0.0,0.0,14934,1829,16763,254777,
09/30/2001,,162627,118157,31083,0.0,3036,5476,4875,4445,10169,,10724,63930,251895,,140849,67512,208361,701,13379,3448,9078,234967,0,0.0,0.0,14934,1994,16928,251895,
12/31/2001,,162222,116601,31893,0.0,3063,5730,4935,7473,8571,,11167,67537,256970,,143847,69872,213719,355,12967,4884,8983,240908,0,0.0,0.0,14974,1088,16062,256970,
03/31/2002,,165566,120887,31994,0.0,1494,5862,5329,4024,10297,,11436,67387,258710,,145843,69668,215511,546,13815,4692,8826,243390,0,0.0,0.0,14974,346,15320,258710,
06/30/2002,,171029,126300,32049,0.0,1661,5963,5056,3563,10385,,11774,64480,261231,,150273,67011,217284,52,13786,4696,9269,245087,0,0.0,0.0,14975,1169,16144,261231,
09/30/2002,,180651,135821,32251,0.0,1955,5663,4961,3647,10389,,11553,61694,267934,,153073,64641,217714,878,16654,4691,10920,250857,0,0.0,0.0,14975,2102,17077,267934,
12/31/2002,,188335,142209,33666,0.0,1613,4725,6122,2323,8533,,11727,66508,277426,,156645,68290,224935,1161,18631,5690,9624,260041,0,0.0,0.0,14976,2409,17385,277426,
03/31/2003,,193480,147798,33661,0.0,1205,4569,6247,4938,10147,,11889,66404,286858,,159746,69803,229549,2441,20182,5758,10889,268819,0,0.0,0.0,14960,3079,18039,286858,
06/30/2003,,208247,161462,33916,0.0,1617,4585,6667,5714,9753,,11899,74209,309822,,164761,77522,242283,3443,23754,5839,13880,289199,0,0.0,0.0,14964,5659,20623,309822,
09/30/2003,,210951,162658,34203,0.0,1659,5364,7067,5372,9398,,12367,76895,314983,,167674,79728,247402,2935,25394,5703,12644,294078,0,0.0,0.0,14968,5937,20905,314983,
12/31/2003,,218099,169578,34998,0.0,1598,4803,7122,3733,9233,,12943,82833,326841,,170049,85278,255327,3642,27735,5703,13285,305692,0,0.0,0.0,14999,6150,21149,326841,
03/31/2004,,225516,176098,35320,0.0,1756,4699,7643,3146,9891,,13020,85640,337213,,174576,88651,263227,3068,28684,5707,14254,314940,0,0.0,0.0,15009,7264,22273,337213,
06/30/2004,,222987,172281,36884,0.0,1744,4154,7924,4459,9896,,13885,87002,338229,,175964,88914,264878,3218,28888,6226,13703,316913,0,0.0,0.0,15021,6295,21316,338229,
09/30/2004,,230335,178542,38421,0.0,1869,4263,7240,3592,9580,,13920,88752,346179,,179995,91279,271274,1566,29163,6972,14229,323204,0,0.0,0.0,15035,7940,22975,346179,
12/31/2004,,234985,179426,41305,0.0,2188,4233,7833,4051,9034,,14336,94402,356808,,183729,97067,280796,2890,29099,6245,13809,332839,0,1145.0,0.0,15045,7779,23969,356808,
03/31/2005,,240967,185204,40930,0.0,2516,4306,8011,3925,9948,,14798,93033,362671,,186432,95797,282229,1120,31744,7692,16848,339633,0,,0.0,15051,7987,23038,362671,
06/30/2005,,245845,187387,42561,0.0,2632,3803,9462,13609,10272,,14874,96831,381431,,189709,100532,290241,3958,32266,9737,17058,353260,2100,,0.0,14883,11188,28171,381431,
09/30/2005,,302343,236900,45935,0.0,3159,4505,11844,6950,17690,,19211,136625,482819,,249022,135278,384300,2606,40224,10601,16331,454062,2100,,0.0,15182,11475,28757,482819,
12/31/2005,,301709,234181,47171,0.0,3338,4665,12354,4018,15222,,19641,141055,481645,,251516,137807,389323,2828,34584,10886,12715,450336,2100,1291.0,0.0,15183,11818,30392,480728,
03/31/2006,,312373,244079,47338,,3356,4700,12900,5144,15876,,20245,145464,499102,,252608,141956,394564,1360,48065,12344,14202,470535,2100,,,15236,11231,28567,499102,
06/30/2006,,312854,241679,48730,0.0,3202,4786,14457,4126,16645,,20814,145866,500305,,254320,142640,396960,2253,46612,13149,12311,471285,2100,1339.0,0.0,15281,10300,29020,500305,
09/30/2006,,321219,248975,50256,,3177,4931,13880,5924,18044,,20565,150434,516186,,257512,147451,404963,1706,49086,13123,14248,483126,2100,1450.0,,15306,14204,33060,516186,
12/31/2006,,324689,246896,52467,,5131,4986,15209,7107,17837,,20851,157231,527715,,261032,155527,416559,2898,47311,12588,13161,492517,2100,1400.0,,15363,16335,35198,527715,
03/31/2007,,330511,251176,54113,,5134,5427,14661,6545,18881,,20371,161501,537809,,260858,157753,418611,3375,49101,14396,16657,502140,2100,1600.0,,15412,16557,35669,537809,
06/30/2007,,336124,254726,54006,0.0,6046,5933,15413,6504,19007,,21067,169862,552564,,265862,166613,432475,1476,50975,16556,16027,517509,2100,1500.0,0.0,15404,16051,35055,552564,
09/30/2007,,339332,254923,55170,0.0,6250,6360,16629,8627,20501,,21310,173307,563077,,270026,172069,442095,1880,50246,16695,15815,526731,2100,1600.0,0.0,15431,17215,36346,563077,
12/31/2007,,318048,235659,55480,0.0,5911,6767,14231,9961,17252,,17810,196078,559149,,256358,168971,425329,6216,44925,12508,33192,522170,2100,1800.0,0.0,15007,18072,36979,559149,
03/31/2008,,339226,247508,58516,0.0,5533,6963,20706,10874,18810,,22085,166137,557132,,275577,163320,438897,6424,47642,14285,16885,524133,2100,,0.0,15509,15390,32999,557132,
06/30/2008,,336607,244054,59763,0.0,5420,7328,20042,13815,19312,,22917,163136,555787,,278361,161478,439839,6470,45979,15077,15881,523246,2100,,0.0,15556,14885,32541,555787,
09/30/2008,,303556,216003,60422,0.0,3477,7556,16098,20209,21900,,20347,155287,521299,,267894,149326,417220,6238,43299,14570,12139,493466,2100,,0.0,15511,10222,27833,521299,
12/31/2008,,298311,203075,61166,,3197,7586,23287,24207,20034,,20144,138982,501678,,273476,129624,403100,10510,38285,10766,15032,477693,2100,251.0,,13720,7914,23985,501678,
03/31/2009,,296821,203233,62895,0.0,2817,7381,20495,19424,21656,,17358,136149,491408,,280177,123348,403525,11120,24976,13733,14625,467979,2100,319.0,0.0,14769,6241,23429,491408,
06/30/2009,,312163,221151,62407,0.0,3045,7296,18264,13213,20002,,20323,143756,509457,,280706,136168,416874,10054,24607,15631,14679,481845,2100,319.0,0.0,14758,10435,27612,509457,
09/30/2009,,322729,232727,60682,0.0,3117,7032,19171,15562,20551,,19208,157142,535192,,282035,153894,435929,7428,24363,16393,16486,500599,2100,325.0,0.0,14774,17394,34593,535192,
12/31/2009,,327567,238400,60970,0.0,3084,6896,18217,10112,20241,,19256,162138,539314,,274552,158248,432800,7121,34407,15499,15989,505816,2100,377.0,0.0,14768,16253,33498,539314,
03/31/2010,,346218,250624,67582,0.0,3066,6866,18080,9202,20946,,18697,170503,565566,,279250,167863,447113,5615,36080,23368,17211,529387,2100,368.0,0.0,14780,18931,36179,565566,
06/30/2010,,358705,259252,68431,,2741,6841,21440,10702,21669,,17720,165111,573907,,283061,163102,446163,6176,40337,23838,17669,534183,2100,349.0,0.0,14805,22470,39724,573907,
09/30/2010,,378683,276141,70168,,2865,6990,22519,14557,22301,,17463,184251,617255,,289046,184132,473178,7354,41253,27703,20998,570486,2100,354.0,0.0,18361,25954,46769,617255,
12/31/2010,,460306,352770,74058,0.0,3602,8030,21846,12957,24127,,27092,206424,730906,,381669,200594,582263,5909,37885,30471,25265,681793,2100,488.0,0.0,24334,22191,49113,730906,
03/31/2011,,467283,361851,73704,0.0,3584,8042,20102,10692,24793,,27979,220594,751341,,387628,213168,600796,5869,38051,30795,25481,700992,2100,533.0,0.0,24580,23136,50349,751341,
06/30/2011,,482170,373863,75482,,3238,8234,21353,9628,25411,,28241,226033,771483,,393950,219972,613922,5399,40234,31461,26634,717650,2100,524.0,0.0,24626,26583,53833,771483,
09/30/2011,,504410,388538,74881,0.0,3118,8197,29676,10001,27930,,27623,215266,785230,,400500,210603,611103,5748,46003,27945,33556,724355,2100,527.0,0.0,24656,33592,60875,785230,
12/31/2011,,511379,385849,83985,0.0,3023,8563,29959,10461,26825,,24619,222942,796226,,401975,222315,624290,6833,44416,25384,37309,738232,2100,475.0,0.0,24694,30725,57994,796226,
03/31/2012,,503936,385278,80484,0.0,3043,8472,26659,18667,28371,,25105,243525,819604,,404954,241465,646419,4748,43213,26581,39519,760480,2100,458.0,0.0,24832,31734,59124,819604,
06/30/2012,,516419,403193,70853,,2882,8477,31014,16035,28378,,24505,239851,825188,,414418,240136,654554,4297,47444,22071,33998,762364,2100,418.0,,24839,35467,62824,825188,
09/30/2012,,521556,408678,71119,,2803,8749,30207,16950,27655,,24604,255520,846285,,417950,257935,675885,4296,45459,22813,33282,781735,2100,501.0,,24876,37073,64550,846285,
12/31/2012,,517052,407520,68890,,2891,9918,27833,15738,26008,,24761,253222,836781,,418172,255412,673584,5049,40504,21501,31185,771823,2100,505.0,,25923,36430,64958,836781,
03/31/2013,,512472,404535,67395,0.0,3188,9998,27356,9983,27607,,24645,266978,841685,,414098,269004,683102,4296,34446,21914,32959,776717,2100,518.0,0.0,25984,36366,64968,841685,
06/30/2013,,491206,385614,67358,,3231,9886,25117,9184,27640,,24782,262850,815662,,399892,263875,663767,4296,33358,21770,31933,755124,2100,535.0,,26049,31854,60538,815662,
09/30/2013,,484925,378097,69515,,3241,10053,24019,11376,27992,,25639,272711,822643,,401040,273562,674602,4296,32065,21445,28857,761265,2100,451.0,,27133,31694,61378,822643,
12/31/2013,,488779,381565,69470,,3402,10712,23630,7585,26114,,26706,336112,885296,,400827,334861,735688,5771,30597,20446,29811,822313,2100,1430.0,0.0,27189,32264,62983,885296,
03/31/2014,,493247,386471,68901,0.0,3693,9930,24252,8573,27477,,26352,335254,890903,,399468,334922,734390,4296,32708,19986,33084,824464,2100,681.0,0.0,27296,36362,66439,890903,
06/30/2014,,505305,397253,69008,,3863,10101,25080,7393,27964,,25915,344543,911120,,403474,344006,747480,4296,33419,19976,35667,840838,2100,691.0,,27350,40141,70282,911120,
09/30/2014,,507551,397556,69794,,3689,10393,26119,8783,28194,,25503,338596,908627,,404508,338041,742549,4296,34069,19582,36730,837226,2100,596.0,,27400,41305,71401,908627,
12/31/2014,,505995,390735,71736,,3631,10525,29368,10808,26364,,24442,334728,902337,,398880,335255,734135,5496,35510,18279,36258,829678,2100,606.0,0.0,28456,41497,72659,902337,
03/31/2015,,516751,396876,74015,0.0,3713,10310,31837,8127,28488,,24003,342421,919790,,397808,343470,741278,4296,37555,20907,41345,845381,2100,639.0,0.0,28545,43125,74409,919790,
06/30/2015,,500384,382407,75585,,3677,10207,28508,8074,28862,,24379,336710,898409,,393190,336897,730087,4264,35603,19963,38503,828420,2100,612.0,,28630,38647,69989,898409,
09/30/2015,,501577,381896,75102,0.0,3399,9923,31257,10216,29995,,23996,316676,882460,,393045,316795,709840,4252,38012,19949,39340,811393,2100,564.0,0.0,28638,39765,71067,882460,
12/31/2015,,495459,375725,78360,0.0,3321,8433,29620,12752,26851,,24130,318741,877933,,394601,318356,712957,5939,36871,19517,34153,809437,2100,547.0,0.0,28661,37188,68496,877933,
03/31/2016,,524727,398595,79908,0.0,3374,8733,34117,13290,32166,,23973,323272,917428,,404560,323774,728334,4227,41165,21083,46654,841463,2100,190.0,0.0,28681,44994,75965,917428,
06/30/2016,,543511,411660,80639,0.0,3333,9063,38816,17067,29970,,24748,327271,942567,,417987,328196,746183,4216,45790,19754,47251,863194,2100,194.0,0.0,28695,48384,79373,942567,
09/30/2016,,548791,416827,82333,0.0,3289,9186,37156,15883,30375,,24748,333107,952904,,424753,334620,759373,4285,44573,19721,46486,874438,2100,180.0,0.0,28709,47477,78466,952904,
12/31/2016,,420911,310009,74678,0.0,2894,8891,24439,12651,18773,,17590,428839,898764,,339122,211607,550729,1516,25873,19610,233334,831062,2100,171.0,0.0,28856,36575,67702,898764,
03/31/2017,,506878,379895,87656,0.0,3377,9464,26486,17411,29925,,25547,334926,914687,,417983,334916,752899,4319,32899,19680,36782,846579,2100,179.0,0.0,28902,36927,68108,914687,
06/30/2017,,514036,386023,88644,0.0,3415,9484,26470,17319,30523,,25408,337913,925199,,422093,338122,760215,1470,33725,22677,37443,855530,2100,214.0,0.0,28933,38422,69669,925199,
09/30/2017,,445706,332649,77642,0.0,2776,9486,23153,13023,22283,,18399,221104,720515,,358518,221356,579874,1434,27132,19832,35299,663571,2100,230.0,0.0,28978,25636,56944,720515,
12/31/2017,,444067,330546,78400,,2513,9637,22971,12701,21947,,18419,222758,719892,,360492,223319,583811,1598,26034,18830,30749,661022,2100,194.0,0.0,29023,27553,58870,719892,
03/31/2018,,441843,326276,80799,0.0,1544,9862,23362,13927,23006,,19330,214478,712584,,364637,214330,578967,1634,26306,18852,30317,656076,2600,198.0,0.0,29065,24645,56508,712584,
06/30/2018,,438812,324032,80554,0.0,1483,9741,23002,16312,23120,,19013,209076,706333,,366954,208742,575696,1564,27252,17682,30307,652501,2100,199.0,0.0,30366,21167,53832,706333,
09/30/2018,,439941,323611,82164,0.0,1479,9977,22710,12490,23511,,19160,203349,698451,,369570,202788,572358,1363,26241,16554,30126,646642,2100,184.0,0.0,30387,19138,51809,698451,
12/31/2018,,436210,314818,85451,0.0,1440,9698,24803,15821,23226,,18895,193386,687538,,370473,193190,563663,1328,25235,15976,28378,634580,3405,217.0,0.0,29081,20255,52958,687538,
03/31/2019,,450866,326179,88271,0.0,1432,10022,24962,14506,24184,1521.0,18349,203762,713188,,374841,204519,579360,1546,25589,17462,30493,654450,3405,229.0,0.0,29142,25962,58738,713188,
06/30/2019,,461094,334500,87702,0.0,1476,10326,27090,18435,24057,1494.0,17880,209207,732167,,381172,210602,591774,1338,25200,18001,31808,668121,3405,235.0,0.0,29209,31197,64046,732167,
09/30/2019,,471893,342256,88630,0.0,1341,10246,29420,19452,24284,1543.0,17382,208258,742812,,382370,210379,592749,1241,28474,18145,33584,674193,3405,251.0,0.0,29246,35717,68619,742812,
12/31/2019,,473795,344772,90209,,1342,10741,26731,16598,23966,1488.0,17833,206783,740463,,387536,208317,595853,1513,27108,17985,31622,674081,3405,238.0,0.0,29287,33452,66382,740463,
03/31/2020,,483111,343760,90982,0.0,1050,11250,36069,24094,25052,,17254,188230,737741,,386981,187540,574521,1279,36238,17661,37579,667278,4405,242.0,0.0,29318,36498,70463,737741,
06/30/2020,,494944,357261,92529,0.0,1105,11524,32525,24289,24236,,16353,207761,767583,,394669,207681,602350,1271,35061,17664,35297,691643,4405,247.0,0.0,29335,41953,75940,767583,
