company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,allowanceforloanandleaselosses,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,intangibleassets,interestbearingdeposits,longtermdebt,mortgageservicingrights,netloansandleases,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,participatingpolicyholderequity,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2008.0,FY,,2008-12-31,2010-02-23 16:14:57+00:00,,,-7520000000.0,1811000000.0,21933000000.0,,7572000000.0,13248000000.0,16747000000.0,1060000000.0,,,7033000000.0,6469000000.0,,1075000000.0,92000000.0,31019000000.0,,11997000000.0,,84552000000.0,,,11336000000.0,130184000000.0,130184000000.0,398000000.0,287583000000.0,9268000000.0,9268000000.0,9360000000.0,278223000000.0,287583000000.0,0.0,99113000000.0,-2120000000.0,5379000000.0,3604000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,FY,,2009-12-31,2011-03-11 16:22:31+00:00,,,-3312000000.0,2142000000.0,,,8989000000.0,10686000000.0,39631000000.0,1204000000.0,,,6632000000.0,5938000000.0,,1026000000.0,29000000.0,27626000000.0,,9454000000.0,,78148000000.0,,,11164000000.0,150394000000.0,150394000000.0,343000000.0,307717000000.0,14905000000.0,17865000000.0,17894000000.0,289823000000.0,307717000000.0,2960000000.0,105297000000.0,-1936000000.0,5221000000.0,3404000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2009.0,Q3,,2009-09-30,2009-11-03 16:36:18+00:00,,,-3217000000.0,2417000000.0,21901000000.0,,8980000000.0,11040000000.0,17950000000.0,1204000000.0,,,6686000000.0,6328000000.0,,1032000000.0,25000000.0,30079000000.0,,9643000000.0,,81435000000.0,,,10689000000.0,155958000000.0,155958000000.0,342000000.0,316720000000.0,14516000000.0,17456000000.0,17481000000.0,299239000000.0,316720000000.0,2940000000.0,105180000000.0,-1936000000.0,5324000000.0,3482000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,FY,,2010-12-31,2012-02-24 16:34:45+00:00,,,-1001000000.0,2062000000.0,,0.0,10453000000.0,9857000000.0,39598000000.0,1051000000.0,,,6589000000.0,4489000000.0,,1150000000.0,,23492000000.0,,9187000000.0,,77343000000.0,,,12077000000.0,159742000000.0,159742000000.0,400000000.0,318346000000.0,19755000000.0,20311000000.0,20311000000.0,298035000000.0,318346000000.0,556000000.0,113230000000.0,-1774000000.0,5176000000.0,3273000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q3,,2010-09-30,2010-11-02 16:59:26+00:00,,,194000000.0,1707000000.0,,,10460000000.0,9386000000.0,39890000000.0,1051000000.0,,,6987000000.0,4684000000.0,,1143000000.0,0.0,23540000000.0,,8266000000.0,,78359000000.0,,,11488000000.0,154219000000.0,154219000000.0,0.0,313926000000.0,20353000000.0,20909000000.0,20909000000.0,293017000000.0,313926000000.0,556000000.0,114826000000.0,-1789000000.0,5296000000.0,3370000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q2,,2010-06-30,2010-08-04 16:36:17+00:00,,,-1379000000.0,2998000000.0,21479000000.0,,10475000000.0,9689000000.0,18529000000.0,1051000000.0,,,7052000000.0,4673000000.0,,1150000000.0,0.0,25624000000.0,,11470000000.0,,76555000000.0,,,11049000000.0,154883000000.0,154883000000.0,0.0,314150000000.0,18335000000.0,18891000000.0,18891000000.0,295259000000.0,314150000000.0,556000000.0,110711000000.0,-1810000000.0,5291000000.0,3371000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2010.0,Q1,,2010-03-31,2010-04-29 16:42:10+00:00,,,-2377000000.0,2079000000.0,21560000000.0,,10480000000.0,10270000000.0,17990000000.0,1204000000.0,,,7431000000.0,5162000000.0,,1032000000.0,0.0,24204000000.0,,9280000000.0,,77415000000.0,,,11006000000.0,160198000000.0,160198000000.0,275000000.0,317282000000.0,17284000000.0,17840000000.0,17840000000.0,299442000000.0,317282000000.0,556000000.0,109731000000.0,-1825000000.0,5293000000.0,3402000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,FY,,2011-12-31,2013-03-01 16:26:44+00:00,,,1251000000.0,2581000000.0,,0.0,10396000000.0,6556000000.0,41016000000.0,1006000000.0,,,6530000000.0,5728000000.0,,1029000000.0,,22770000000.0,,8412000000.0,,76073000000.0,,,11001000000.0,143870000000.0,143870000000.0,0.0,302609000000.0,20930000000.0,21486000000.0,21486000000.0,281123000000.0,302609000000.0,556000000.0,115623000000.0,-1718000000.0,5222000000.0,3446000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q3,,2011-09-30,2011-11-02 16:44:47+00:00,,,1065000000.0,2589000000.0,,0.0,10400000000.0,8729000000.0,41034000000.0,1036000000.0,,,6566000000.0,5590000000.0,,1029000000.0,,24298000000.0,,8883000000.0,,76602000000.0,,,12447000000.0,143923000000.0,143923000000.0,400000000.0,305598000000.0,22225000000.0,22781000000.0,22781000000.0,282817000000.0,305598000000.0,556000000.0,114879000000.0,-1687000000.0,5409000000.0,3525000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q2,,2011-06-30,2011-08-03 16:53:19+00:00,,,-77000000.0,1898000000.0,,,10398000000.0,9584000000.0,40184000000.0,1036000000.0,,,6582000000.0,5304000000.0,,1020000000.0,,25260000000.0,,9518000000.0,,76310000000.0,,,12503000000.0,157485000000.0,157485000000.0,400000000.0,317469000000.0,21119000000.0,21675000000.0,21675000000.0,295794000000.0,317469000000.0,556000000.0,112464000000.0,-1705000000.0,5315000000.0,3418000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2011.0,Q1,,2011-03-31,2011-05-02 16:44:22+00:00,,,-764000000.0,2317000000.0,,,10396000000.0,9843000000.0,39420000000.0,1051000000.0,,,6592000000.0,4736000000.0,,1132000000.0,,23780000000.0,,9582000000.0,,76188000000.0,,,12533000000.0,164043000000.0,164043000000.0,400000000.0,322538000000.0,20443000000.0,20999000000.0,20999000000.0,301539000000.0,322538000000.0,556000000.0,112240000000.0,-1722000000.0,5314000000.0,3396000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,FY,,2012-12-31,2014-02-28 16:48:19+00:00,,,2843000000.0,2421000000.0,,0.0,10043000000.0,5725000000.0,40992000000.0,654000000.0,,,6967000000.0,6711000000.0,,977000000.0,,20055000000.0,,10172000000.0,,70901000000.0,,,10745000000.0,141569000000.0,141569000000.0,320000000.0,298513000000.0,21891000000.0,22447000000.0,22447000000.0,276066000000.0,298513000000.0,556000000.0,116859000000.0,-1740000000.0,5145000000.0,3542000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,Q3,,2012-09-30,2013-03-01 16:22:09+00:00,,,3295000000.0,2705000000.0,,,10037000000.0,5947000000.0,40992000000.0,664000000.0,,,6996000000.0,6863000000.0,,979000000.0,,20424000000.0,,10668000000.0,,73024000000.0,,,10847000000.0,148369000000.0,148369000000.0,320000000.0,308721000000.0,22426000000.0,22982000000.0,22982000000.0,285739000000.0,308721000000.0,556000000.0,119124000000.0,-1753000000.0,5370000000.0,3646000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,Q2,,2012-06-30,2012-08-01 16:47:31+00:00,,,2256000000.0,2338000000.0,,0.0,10042000000.0,6336000000.0,40980000000.0,1006000000.0,,,7379000000.0,6875000000.0,,1001000000.0,,21381000000.0,,10529000000.0,,73188000000.0,,,10887000000.0,144662000000.0,144662000000.0,,303977000000.0,21405000000.0,21961000000.0,21961000000.0,282016000000.0,303977000000.0,556000000.0,116841000000.0,-1780000000.0,5278000000.0,3537000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2012.0,Q1,,2012-03-31,2012-05-02 16:46:22+00:00,,,1328000000.0,2059000000.0,,0.0,10036000000.0,6577000000.0,40532000000.0,1006000000.0,,,6530000000.0,6275000000.0,,1017000000.0,,21571000000.0,,9728000000.0,,74757000000.0,,,11042000000.0,152402000000.0,152402000000.0,,310548000000.0,20718000000.0,21274000000.0,21274000000.0,289274000000.0,310548000000.0,556000000.0,116076000000.0,-1688000000.0,5325000000.0,3565000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2013.0,Q3,,2013-09-30,2013-10-28 17:07:02+00:00,,,-17000000.0,1422000000.0,,,10419000000.0,2249000000.0,41545000000.0,498000000.0,,1723000000.0,6389000000.0,5575000000.0,,895000000.0,,39882000000.0,,7608000000.0,,62433000000.0,,,10439000000.0,139876000000.0,139876000000.0,,283947000000.0,18928000000.0,18928000000.0,18928000000.0,265019000000.0,283947000000.0,0.0,89877000000.0,-1913000000.0,5445000000.0,3673000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2013.0,Q2,,2013-06-30,2013-07-29 16:25:03+00:00,,,74000000.0,1740000000.0,,,10549000000.0,2472000000.0,41548000000.0,498000000.0,,1662000000.0,6735000000.0,5411000000.0,,911000000.0,,40568000000.0,,8644000000.0,,63948000000.0,,,10213000000.0,147986000000.0,147986000000.0,,294833000000.0,19013000000.0,19013000000.0,19013000000.0,275820000000.0,294833000000.0,0.0,91666000000.0,-1823000000.0,5297000000.0,3581000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2013.0,Q1,,2013-03-31,2013-04-29 16:36:39+00:00,,,1649000000.0,1985000000.0,,,9998000000.0,2431000000.0,41681000000.0,498000000.0,,,6459000000.0,5229000000.0,,921000000.0,,37486000000.0,,8371000000.0,,69132000000.0,,,10449000000.0,145151000000.0,145151000000.0,,297021000000.0,20364000000.0,20920000000.0,20920000000.0,276101000000.0,297021000000.0,556000000.0,99736000000.0,-1732000000.0,5307000000.0,3584000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2014.0,FY,,2014-12-31,2016-02-26 16:20:31+00:00,,,928000000.0,399000000.0,,,9128000000.0,1823000000.0,41444000000.0,498000000.0,,,5653000000.0,5556000000.0,,831000000.0,,36856000000.0,,6251000000.0,,32532000000.0,,,11191000000.0,134702000000.0,134702000000.0,456000000.0,245013000000.0,18720000000.0,18720000000.0,18720000000.0,226293000000.0,245013000000.0,,60930000000.0,-2527000000.0,5255000000.0,3429000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2014.0,Q3,,2014-09-30,2014-10-27 16:31:10+00:00,,,1077000000.0,440000000.0,,,9018000000.0,1868000000.0,41442000000.0,498000000.0,,,5819000000.0,5730000000.0,,816000000.0,,37179000000.0,,6259000000.0,,32748000000.0,,,10886000000.0,136319000000.0,136319000000.0,289000000.0,247100000000.0,18835000000.0,18835000000.0,18835000000.0,228265000000.0,247100000000.0,,60710000000.0,-2146000000.0,5389000000.0,3540000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2014.0,Q2,,2014-06-30,2014-07-30 16:42:48+00:00,,,1162000000.0,1512000000.0,,,9235000000.0,2026000000.0,41682000000.0,498000000.0,,,5819000000.0,5586000000.0,,807000000.0,,37784000000.0,,7149000000.0,,33475000000.0,,,10577000000.0,141523000000.0,141523000000.0,289000000.0,254713000000.0,19428000000.0,19428000000.0,19428000000.0,235285000000.0,254713000000.0,,61410000000.0,-1546000000.0,5348000000.0,3567000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2014.0,Q1,,2014-03-31,2014-04-30 17:18:03+00:00,,,659000000.0,1285000000.0,,,9554000000.0,2092000000.0,41461000000.0,498000000.0,,,5818000000.0,5707000000.0,,870000000.0,,38637000000.0,,5684000000.0,,55836000000.0,,,11111000000.0,138492000000.0,138492000000.0,532000000.0,272923000000.0,19774000000.0,19774000000.0,19774000000.0,253149000000.0,272923000000.0,,81876000000.0,-1550000000.0,5326000000.0,3466000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2015.0,FY,,2015-12-31,2017-02-24 16:06:01+00:00,,,-329000000.0,448000000.0,27713000000.0,,8978000000.0,1816000000.0,13859000000.0,498000000.0,,,5084000000.0,5624000000.0,,974000000.0,,34508000000.0,,6597000000.0,,31670000000.0,,,12550000000.0,120123000000.0,120123000000.0,275000000.0,228348000000.0,17642000000.0,17642000000.0,17642000000.0,210706000000.0,228348000000.0,,60820000000.0,-3557000000.0,5385000000.0,3537000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2015.0,Q3,,2015-09-30,2015-10-26 16:36:02+00:00,,,140000000.0,665000000.0,,,8961000000.0,1710000000.0,41685000000.0,498000000.0,,,5359000000.0,5552000000.0,,932000000.0,,36391000000.0,,6973000000.0,,31923000000.0,,,12215000000.0,121634000000.0,121634000000.0,167000000.0,231453000000.0,18204000000.0,18204000000.0,18204000000.0,213249000000.0,231453000000.0,,60481000000.0,-3112000000.0,5508000000.0,3601000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2015.0,Q2,,2015-06-30,2016-04-28 16:19:55+00:00,172826000.0,,-98909000.0,103584000.0,,0.0,324896000.0,,,400629000.0,173172000.0,,493039000.0,,,467511000.0,512000.0,147989000.0,,193921000.0,45920000.0,,57738000.0,,435052000.0,,,86932000.0,1299795000.0,248907000.0,248907000.0,249419000.0,992638000.0,1299795000.0,0.0,6910000.0,-412132000.0,,
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2015.0,Q1,,2015-03-31,2015-04-27 16:27:08+00:00,,,1150000000.0,500000000.0,,,9001000000.0,1764000000.0,41523000000.0,498000000.0,,,5653000000.0,5697000000.0,,848000000.0,,36130000000.0,,7253000000.0,,32101000000.0,,,11583000000.0,135803000000.0,135803000000.0,167000000.0,246960000000.0,19077000000.0,19077000000.0,19077000000.0,227883000000.0,246960000000.0,,62234000000.0,-2657000000.0,5383000000.0,3497000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2016.0,FY,,2016-12-31,2018-02-23 16:27:29+00:00,,,-337000000.0,328000000.0,28317000000.0,0.0,5251000000.0,645000000.0,322000000.0,567000000.0,44000000.0,,4494000000.0,2886000000.0,,991000000.0,,182047000000.0,,168130000000.0,,602000000.0,,,13114000000.0,,,416000000.0,224576000000.0,16903000000.0,16903000000.0,16903000000.0,207673000000.0,224576000000.0,,33338000000.0,-1125000000.0,5392000000.0,3730000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2016.0,Q3,,2016-09-30,2016-10-27 16:25:52+00:00,,,987000000.0,810000000.0,,,8898000000.0,1683000000.0,41852000000.0,567000000.0,,,4635000000.0,5611000000.0,,1001000000.0,,34987000000.0,,7080000000.0,,31245000000.0,,,13282000000.0,118648000000.0,118648000000.0,690000000.0,228430000000.0,18658000000.0,18658000000.0,18658000000.0,209772000000.0,228430000000.0,,61471000000.0,-4509000000.0,5622000000.0,3663000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2016.0,Q2,,2016-06-30,2016-07-28 16:24:56+00:00,,,900000000.0,461000000.0,,,8902000000.0,1637000000.0,42173000000.0,498000000.0,,,4634000000.0,5659000000.0,,1005000000.0,,34401000000.0,,6782000000.0,,31389000000.0,,,12923000000.0,117851000000.0,117851000000.0,690000000.0,227616000000.0,18559000000.0,18559000000.0,18559000000.0,209057000000.0,227616000000.0,,62490000000.0,-4166000000.0,5538000000.0,3625000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2016.0,Q1,,2016-03-31,2016-04-28 16:27:31+00:00,,,254000000.0,479000000.0,,,8890000000.0,1694000000.0,41842000000.0,498000000.0,,,4633000000.0,5637000000.0,,995000000.0,,34247000000.0,,6833000000.0,,31525000000.0,,,12789000000.0,118361000000.0,118361000000.0,690000000.0,227493000000.0,18112000000.0,18112000000.0,18112000000.0,209381000000.0,227493000000.0,,61988000000.0,-3821000000.0,5497000000.0,3605000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2017.0,FY,,2017-12-31,2019-02-22 16:09:46+00:00,,,663000000.0,180000000.0,32287000000.0,0.0,4383000000.0,650000000.0,713000000.0,1290000000.0,659000000.0,,4678000000.0,3175000000.0,,1034000000.0,,176345000000.0,,167630000000.0,,816000000.0,,,9642000000.0,,,320000000.0,225260000000.0,13494000000.0,13494000000.0,13494000000.0,211766000000.0,225260000000.0,0.0,38017000000.0,-1194000000.0,5322000000.0,3910000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2017.0,Q3,,2017-09-30,2017-10-26 16:06:59+00:00,,,585000000.0,333000000.0,28232000000.0,,5195000000.0,1635000000.0,14247000000.0,567000000.0,,,4818000000.0,6058000000.0,,962000000.0,,36363000000.0,,8056000000.0,,30151000000.0,,,13434000000.0,115626000000.0,115626000000.0,320000000.0,224211000000.0,17233000000.0,17233000000.0,17233000000.0,206978000000.0,224211000000.0,,58863000000.0,-1981000000.0,5528000000.0,3804000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2017.0,Q2,,2017-06-30,2017-07-27 16:38:37+00:00,,,494000000.0,362000000.0,27839000000.0,,5199000000.0,1648000000.0,14156000000.0,567000000.0,,,4817000000.0,5796000000.0,,974000000.0,,36889000000.0,,8658000000.0,,30466000000.0,,,13282000000.0,116746000000.0,116746000000.0,320000000.0,225863000000.0,17288000000.0,17288000000.0,17288000000.0,208575000000.0,225863000000.0,,59046000000.0,-1687000000.0,5573000000.0,3846000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2017.0,Q1,,2017-03-31,2017-04-27 16:29:53+00:00,,,-207000000.0,337000000.0,27687000000.0,,5181000000.0,1693000000.0,14051000000.0,567000000.0,,,4817000000.0,5685000000.0,,984000000.0,,38067000000.0,,8450000000.0,,30863000000.0,,,13406000000.0,116582000000.0,116582000000.0,320000000.0,225388000000.0,17009000000.0,17009000000.0,17009000000.0,208379000000.0,225388000000.0,,57720000000.0,-1371000000.0,5609000000.0,3764000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2018.0,FY,,2018-12-31,2020-02-21 16:18:28+00:00,,1000000.0,-1579000000.0,112000000.0,33029000000.0,0.0,4382000000.0,670000000.0,642000000.0,1290000000.0,657000000.0,,4265000000.0,3704000000.0,-1000000.0,1006000000.0,,13976000000.0,0.0,4808000000.0,,767000000.0,,9000000.0,11055000000.0,,,413000000.0,62307000000.0,12767000000.0,13101000000.0,13101000000.0,49206000000.0,62307000000.0,334000000.0,36888000000.0,-1091000000.0,5282000000.0,3995000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2018.0,Q3,,2018-09-30,2018-10-25 16:23:26+00:00,,,-1519000000.0,102000000.0,32297000000.0,,4389000000.0,670000000.0,656000000.0,1290000000.0,651000000.0,,4263000000.0,3559000000.0,,997000000.0,,12918000000.0,,4916000000.0,,775000000.0,,,10973000000.0,,,413000000.0,61437000000.0,12729000000.0,12729000000.0,12729000000.0,48708000000.0,61437000000.0,,37225000000.0,-1114000000.0,5388000000.0,4025000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2018.0,Q2,,2018-06-30,2018-07-26 16:24:06+00:00,,,-1353000000.0,147000000.0,32080000000.0,,4378000000.0,662000000.0,668000000.0,1290000000.0,669000000.0,,4262000000.0,3355000000.0,,1013000000.0,,12405000000.0,,4576000000.0,,784000000.0,,,10649000000.0,,,413000000.0,60775000000.0,12546000000.0,12546000000.0,12546000000.0,48229000000.0,60775000000.0,,37233000000.0,-1128000000.0,5446000000.0,4001000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2018.0,Q1,,2018-03-31,2018-04-26 16:39:42+00:00,,,-239000000.0,228000000.0,32213000000.0,,4367000000.0,663000000.0,678000000.0,1290000000.0,687000000.0,,4755000000.0,3221000000.0,,1018000000.0,,168480000000.0,,159214000000.0,,800000000.0,,,10156000000.0,,,413000000.0,216666000000.0,13143000000.0,13143000000.0,13143000000.0,203523000000.0,216666000000.0,,37085000000.0,-1141000000.0,5450000000.0,3994000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2019.0,FY,,2019-12-31,2020-04-29 16:22:50+00:00,,,52000000.0,185000000.0,36517000000.0,,4316000000.0,785000000.0,635000000.0,1913000000.0,1070000000.0,,4348000000.0,4215000000.0,,1181000000.0,,13191000000.0,,5157000000.0,,755000000.0,,77000000.0,12685000000.0,,,500000000.0,70817000000.0,15936000000.0,16270000000.0,16270000000.0,54547000000.0,70817000000.0,334000000.0,43816000000.0,-1117000000.0,6635000000.0,4384000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2019.0,Q3,,2019-09-30,2019-11-04 16:27:45+00:00,,,214000000.0,207000000.0,36188000000.0,,4306000000.0,772000000.0,645000000.0,1913000000.0,1126000000.0,,4346000000.0,3736000000.0,,1194000000.0,,12803000000.0,,4915000000.0,,764000000.0,,83000000.0,12251000000.0,,,500000000.0,70256000000.0,15744000000.0,16078000000.0,16078000000.0,54178000000.0,70256000000.0,334000000.0,43842000000.0,-1027000000.0,6820000000.0,4580000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2019.0,Q2,,2019-06-30,2019-08-01 16:23:06+00:00,,,-198000000.0,226000000.0,36104000000.0,,4304000000.0,722000000.0,644000000.0,1913000000.0,1191000000.0,,4050000000.0,3612000000.0,,1222000000.0,,13055000000.0,,5259000000.0,,790000000.0,,57000000.0,11836000000.0,,,500000000.0,69472000000.0,14958000000.0,15292000000.0,15292000000.0,54180000000.0,69472000000.0,334000000.0,42748000000.0,-984000000.0,6833000000.0,4726000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2019.0,Q1,,2019-03-31,2019-05-01 16:21:32+00:00,,,-885000000.0,104000000.0,32973000000.0,,4333000000.0,688000000.0,648000000.0,1290000000.0,644000000.0,,3767000000.0,3637000000.0,,1145000000.0,,13542000000.0,,4873000000.0,,742000000.0,,,11572000000.0,,,499000000.0,63324000000.0,14006000000.0,14340000000.0,14340000000.0,48984000000.0,63324000000.0,334000000.0,38114000000.0,-1014000000.0,5482000000.0,4160000000.0
Hartford Financial Services Group Inc,HIG,IU7C3FTM7Y3BQM112U94,874766,2020.0,Q1,,2020-03-31,2020-04-29 16:22:50+00:00,,,-957000000.0,211000000.0,36582000000.0,,4290000000.0,818000000.0,629000000.0,1913000000.0,1028000000.0,,4349000000.0,4353000000.0,,1161000000.0,,13224000000.0,,4330000000.0,,758000000.0,,90000000.0,12819000000.0,,,0.0,68724000000.0,14932000000.0,15266000000.0,15266000000.0,53458000000.0,68724000000.0,334000000.0,41368000000.0,-1220000000.0,6810000000.0,4558000000.0
